name,year,rating,metascore,vote,imdb_id,poster,genre,certificate,runtime,director_actor,story,imdbId,movieId,tmdbId,title,genres,genre1
Guns & Talks,2001,6.9,,1744,tt0295368,https://m.media-amazon.com/images/M/MV5BMTM3NjY5OTM4N15BMl5BanBnXkFtZTcwNjk3NzYyMQ@@..jpg,"
Action, Drama, Comedy            ",,120 min,"
    Director:
Jin Jang
| 
    Stars:
Hyeon-jun Shin, 
Ha-kyun Shin, 
Won Bin, 
Jae-yeong Jeong
","
    Four unlikely assassins genuinely care about their customers and victims, meanwhile a prosecutor is on their trail.",295368,144536,23609,Guns & Talks (2001),Action|Comedy,Action
Crocodile,1996,6.6,,1510,tt0296492,https://m.media-amazon.com/images/M/MV5BMjE3NTY1MDQ4N15BMl5BanBnXkFtZTcwNDQxNTgzMg@@..jpg,"
Drama            ",,102 min,"
    Director:
Ki-duk Kim
| 
    Stars:
Jae-Hyun Cho, 
Jae-Hong Ahn, 
Mu-song Jeon, 
Yun-kyeong Woo
","
    A woman forms a twisted bond with a homeless violent thug who prevented her suicide.",296492,42973,25652,Crocodile (Ag-o) (1996),Drama,Drama
Take Care of My Cat,2001,7.3,69,2187,tt0296658,https://m.media-amazon.com/images/M/MV5BMTI2Mjc3MTM2NF5BMl5BanBnXkFtZTcwODUzMjYyMQ@@..jpg,"
Drama            ",,112 min,"
    Director:
Jae-eun Jeong
| 
    Stars:
Doona Bae, 
Yo-won Lee, 
Ji-young Ok, 
Eung-ju Lee
","
    In the port city of Icheon, five female friends struggle to stay close while forging a life for themselves after high school. When one of the group, upwardly-mobile Hae-ju, moves to Seoul, ...                See full summary »
",296658,5687,37288,Take Care of My Cat (Goyangileul butaghae) (2001),Drama,Drama
My Wife Is a Gangster,2001,6.4,,3061,tt0296696,https://m.media-amazon.com/images/M/MV5BOGQ3ZWQxYzAtNjExYy00ZDAwLWFjY2QtYTFkZTA5MDE2ZTUwXkEyXkFqcGdeQXVyNjc5Mjg4Nzc@..jpg,"
Action, Comedy, Crime            ",,107 min,"
    Director:
Jin-gyu Cho
| 
    Stars:
Eun-Kyung Shin, 
Jae-mo Ahn, 
In-kwon Kim, 
Se-jin Jang
","
    The story of how Eun-jin (Eun-kyung Shin) became a legend in the South Korean underworld by defeating an army of gangsters.",296696,27530,21707,My Wife Is a Gangster (Jopog manura) (2001),Action|Comedy|Romance,Action
Hwasango,2001,6,,3329,tt0301429,https://m.media-amazon.com/images/M/MV5BZmE2NmNmMDAtZTA0Yy00OTc3LTkyY2UtMjkwM2M4MWNkYTRmXkEyXkFqcGdeQXVyMTMxMTY0OTQ@..jpg,"
Action, Comedy, Fantasy            ",PG-13,120 min,"
    Director:
Tae-gyun Kim
| 
    Stars:
Hyuk Jang, 
Min-a Shin, 
Soo-Ro Kim, 
Sang-Woo Kwon
","
    Violence in Korean High School, especially inside the WaSanGo (Volcano High). You won't be able to escape.",301429,6210,23834,Volcano High (Whasango) (2001),Action|Comedy,Action
Bad Guy,2001,6.7,49,8868,tt0307213,https://m.media-amazon.com/images/M/MV5BMTk3OTI5MTc3MV5BMl5BanBnXkFtZTcwNzc1MTkyMQ@@..jpg,"
Drama            ",Not Rated,100 min,"
    Director:
Ki-duk Kim
| 
    Stars:
Jae-Hyun Cho, 
Won Seo, 
Yun-tae Kim, 
Duk-moon Choi
","
    An unfeeling gangster seeks to ruin the life of a young girl who rejected him. He forces her into prostitution and spies on her regularly, then he soon begins to fall for her.",307213,33592,25649,Bad Guy (Nabbeun namja) (2001),Drama,Drama
Sympathy for Mr. Vengeance,2002,7.6,56,60133,tt0310775,https://m.media-amazon.com/images/M/MV5BYmNlNDVjMWUtZDZjNS00YTBmLWE3NGUtNDcxMzE0YTQ2ODMxXkEyXkFqcGdeQXVyMTMxODk2OTU@..jpg,"
Crime, Drama, Thriller            ",R,129 min,"
    Director:
Chan-wook Park
| 
    Stars:
Kang-ho Song, 
Ha-kyun Shin, 
Doona Bae, 
Ji-Eun Lim
","
    A recently laid off factory worker kidnaps his former boss' friend's daughter, hoping to use the ransom money to pay for his sister's kidney transplant.",310775,27592,4689,Sympathy for Mr. Vengeance (Boksuneun naui geot) (2002),Crime|Drama,Crime
The Way Home,2002,7.8,63,4844,tt0312841,https://m.media-amazon.com/images/M/MV5BMjAwMDgwNzUzMV5BMl5BanBnXkFtZTcwMDA4MTQyMQ@@..jpg,"
Drama            ",PG,80 min,"
    Director:
Jeong-hyang Lee
| 
    Stars:
Seung-ho Yoo, 
Eul-boon Kim, 
Hyo-hee Dong, 
Kyung-hyun Min
","
    Seven-year-old Sang-woo is left with his grandmother in a remote village while his mother looks for work. Born and raised in the city, Sang-woo quickly comes into conflict with his ...                See full summary »
",312841,5821,33251,"Way Home, The (Jibeuro) (2002)",Drama,Drama
On the Occasion of Remembering the Turning Gate,2002,7.3,,1095,tt0313550,https://m.media-amazon.com/images/M/MV5BYjMwNmQ0OTgtYjJkYy00OWMzLThmOTItMTdiMDcyZjc3YmJmXkEyXkFqcGdeQXVyMjI2MDQxODA@..jpg,"
Drama            ",,115 min,"
    Director:
Sang-soo Hong
| 
    Stars:
Sang-mi Choo, 
Ji-won Ye, 
Kil-kang Ahn, 
George Georgiou
","
    Actor Kyung Soo leaves Seoul to visit an old classmate. The reunion with his friend does not amount to much, but the trip does lead to some romantic encounters. He gets involved with two ...                See full summary »
",313550,83558,53267,On the Occasion of Remembering the Turning Gate (Saenghwalui balgyeon) (2002),Drama,Drama
Painted Fire,2002,7.2,78,2517,tt0317234,https://m.media-amazon.com/images/M/MV5BNzc0ODRkY2QtYTI3Yy00ZTY4LWI4ZTItOGQxZDNhOTZhN2MxXkEyXkFqcGdeQXVyNzI1NzMxNzM@..jpg,"
Biography, Drama, History            ",Unrated,120 min,"
    Director:
Kwon-taek Im
| 
    Stars:
Min-sik Choi, 
Sung-Ki Ahn, 
Ho-jeong Yu, 
Yeo-jin Kim
","
    In a time of political and social unrest in nineteenth-century Korea, an uncouth, self-taught painter explores his natural talent amidst the repressive world around him.",317234,6161,18302,Painted Fire (Chihwaseon) (2002),Drama,Drama
Oasis,2002,7.9,79,7742,tt0320193,https://m.media-amazon.com/images/M/MV5BYjdjNDg1ZWYtYjdlYi00ZDk5LWE1MjktN2VjNTgyN2RmZmYxXkEyXkFqcGdeQXVyMTMxMTY0OTQ@..jpg,"
Drama, Romance            ",,133 min,"
    Director:
Chang-dong Lee
| 
    Stars:
Kyung-gu Sol, 
So-Ri Moon, 
Nae-sang Ahn, 
Seung-wan Ryoo
","
    An irresponsible and childish ex-con befriends a girl with cerebral palsy and develops a progressively stronger bond with her.",320193,27627,26955,Oasis (2002),Drama|Romance,Drama
Sky Blue,2003,6.7,53,8894,tt0353014,https://m.media-amazon.com/images/M/MV5BMzJmZTllYjMtMzI4NS00MzFmLWFlNWItZmVmMTc3Mzc1Mzc5L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@..jpg,"
Animation, Action, Adventure            ",Unrated,86 min,"
    Director:
Moon-saeng Kim
| 
    Stars:
Andrew Ableson, 
Cathy Cavadini, 
Joon-ho Chung, 
Mark Lindsay
","
    2142: Pollution and climate change wiped out most of Earth's population. Ecoban city is built to withstand this. Suppression results in revolt. A childhood couple find each other as adults on opposing sides.",353014,8134,14258,Wonderful Days (a.k.a. Sky Blue) (2003),Animation|Sci-Fi,Animation
Memories of Murder,2003,8.1,82,123625,tt0353969,https://m.media-amazon.com/images/M/MV5BMzhlNGJhYzUtZTNiMi00MjI0LWFjN2MtOTVlN2IxODVkZWVkXkEyXkFqcGdeQXVyMTMxODk2OTU@..jpg,"
Action, Crime, Drama            ",Not Rated,132 min,"
    Director:
Bong Joon Ho
| 
    Stars:
Kang-ho Song, 
Sang-kyung Kim, 
Roe-ha Kim, 
Jae-ho Song
","
    In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",353969,31364,11423,Memories of Murder (Salinui chueok) (2003),Crime|Drama|Mystery|Thriller,Crime
Save the Green Planet!,2003,7.3,70,7358,tt0354668,https://m.media-amazon.com/images/M/MV5BMWI3NTkzYzItNDlmYi00ODBlLWJlNWUtMTdiOWNlNjNkZTFjXkEyXkFqcGdeQXVyMjQ1NjEyNzE@..jpg,"
Comedy, Sci-Fi, Thriller            ",Not Rated,118 min,"
    Director:
Joon-Hwan Jang
| 
    Stars:
Ha-kyun Shin, 
Yun-shik Baek, 
Jung-min Hwang, 
Jae-yong Lee
","
    Byeong-gu believes that the world is on the verge of an alien invasion, and sets out to save the world.",354668,32239,11297,Save the Green Planet! (Jigureul jikyeora!) (2003),Comedy|Drama|Horror|Sci-Fi|Thriller,Comedy
Oldboy,2003,8.4,77,494073,tt0364569,https://m.media-amazon.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@..jpg,"
Action, Drama, Mystery            ",R,120 min,"
    Director:
Chan-wook Park
| 
    Stars:
Min-sik Choi, 
Ji-Tae Yoo, 
Hye-jeong Kang, 
Dae-han Ji
","
    After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",364569,27773,670,Old Boy (2003),Mystery|Thriller,Mystery
A Tale of Two Sisters,2003,7.2,65,54085,tt0365376,https://m.media-amazon.com/images/M/MV5BMDMyNDE0ZmQtZTVhZC00M2Q1LTljNmUtYjFiNzljNGNjOTA3XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,"
Drama, Horror, Mystery            ",R,114 min,"
    Director:
Jee-woon Kim
| 
    Stars:
Kap-su Kim, 
Jung-ah Yum, 
Soo-jung Lim, 
Geun-young Moon
","
    A family is haunted by the tragedies of deaths within the family.",365376,7982,4552,"Tale of Two Sisters, A (Janghwa, Hongryeon) (2003)",Drama|Horror|Mystery|Thriller,Drama
Wishing Stairs,2003,5.9,,2860,tt0370082,https://m.media-amazon.com/images/M/MV5BNjczNWE0ZDItM2YwZi00ZDM0LWI1NTQtOTczZWU3YzlmOWIwXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@..jpg,"
Horror, Drama            ",R,97 min,"
    Director:
Jae-yeon Yun
| 
    Stars:
Ji-Hyo Song, 
Han-byeol Park, 
An Jo, 
Ji-Yeon Park
","
    A staircase leading to the dormitory of a remote boarding school usually has 28 stairs, but every so often there appears to be 29. When someone steps on the mysterious extra stair, the horror begins",370082,38086,32237,Wishing Stairs (Yeogo goedam 3: Yeowoo gyedan) (2003),Drama|Horror,Drama
Dragon Wars: D-War,2007,3.5,33,23416,tt0372873,https://m.media-amazon.com/images/M/MV5BMTc2OTk1MzUzMl5BMl5BanBnXkFtZTcwNjE0ODI1MQ@@..jpg,"
Action, Drama, Fantasy            ",PG-13,90 min,"
    Director:
Hyung-rae Shim
| 
    Stars:
Jason Behr, 
Amanda Brooks, 
Robert Forster, 
Craig Robinson
","
    Once in 500 years, ancient mythical creatures come to Earth, wreaking havoc and destruction. This time they must be stopped.",372873,57223,10253,D-War (Dragon Wars) (2007),Action|Adventure|Drama|Fantasy,Action
"Spring, Summer, Fall, Winter... and Spring",2003,8,85,74747,tt0374546,https://m.media-amazon.com/images/M/MV5BMTI0ODMwOTIxOV5BMl5BanBnXkFtZTcwMzE2NDUyMQ@@..jpg,"
Drama, Romance            ",R,103 min,"
    Director:
Ki-duk Kim
| 
    Stars:
Ki-duk Kim, 
Yeong-su Oh, 
Jong-ho Kim, 
Young-min Kim
","
    A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.",374546,8014,113,"Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom) (2003)",Drama,Drama
Natural City,2003,5.7,,4279,tt0378428,https://m.media-amazon.com/images/M/MV5BNDNjYThkN2YtODI5Ny00YzA5LWFjMjQtZTE4YTNjMjhhNTM1XkEyXkFqcGdeQXVyMTMxMTY0OTQ@..jpg,"
Action, Drama, Sci-Fi            ",R,114 min,"
    Director:
Byung-chun Min
| 
    Stars:
Ji-Tae Yoo, 
Jae-un Lee, 
Rin Seo, 
Eun-pyo Jeong
","
    In the year 2080, the world is connected by a massive computer network. Combiners have developed a process that allows them to merge the souls of human and machine/cyborg, wreaking havoc in...                See full summary »
",378428,32501,14573,Natural City (2003),Action|Romance|Sci-Fi,Action
