,name,year,rating,metascore,vote,imdb_id,poster,genre,certificate,runtime,director_actor,story,imdbId,movieId,tmdbId,title,genres
10,Ironheart,(1992),3.4,,381.0,tt0104530,"https://m.media-amazon.com/images/M/MV5BYjkyMzlhMTgtNGFhZS00N2VjLWExN2QtZTA3ODQyZWZjZjE2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg","
Action, Crime, Drama            ",R,92 min,"
    Director:
Robert Clouse
| 
    Stars:
Britton K. Lee, 
Bolo Yeung, 
Richard Norton, 
Karman Kruschke
","
    An L.A. cop goes after a gang of murderous drug dealers.",104530,139333,193385.0,Ironheart (1992),Action|Crime
11,To the Starry Island,(1993),6.3,,112.0,tt0107005,"https://m.media-amazon.com/images/M/MV5BODhjODhiM2QtY2Q2ZC00YTEwLWIwMTItZjA2MzRhYTczZGRhXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UY98_CR1,0,67,98_AL_.jpg","
Drama, Fantasy            ",,102 min,"
    Director:
Kwang-su Park
| 
    Stars:
So-yeong Ahn, 
Sung-Ki Ahn, 
Hyung-in Choi, 
Woo-hyeok Choi
","
    Moon Chae-Ku and his friend Kim Chul try to bring the body of Moon's father back to his native Kwisong Island for burial. Their ferry is intercepted by resentful islanders who will not let ...                See full summary »
",107005,205645,124316.0,To the Starry Island (1993),Drama|Fantasy
12,Sopyonje,(1993),7.7,,835.0,tt0108192,"https://m.media-amazon.com/images/M/MV5BMWIxMTgxYjItNTNhMC00MmQ5LTgzOTktOGJmMTc3Mjk3ODRjXkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_UX67_CR0,0,67,98_AL_.jpg","
Drama, Music            ",,112 min,"
    Director:
Kwon-taek Im
| 
    Stars:
Myung-gon Kim, 
Jung-hae Oh, 
Kyu-chul Kim, 
Sae-kil Shin
","
    Despite its falling popularity, a father teaches his two children the Korean musical tradition of Pansori (one singer accompanied by one drummer).",108192,80419,124315.0,Seopyeonje (1993),Drama|Musical
13,301/302,(1995),6.4,,960.0,tt0112257,"https://m.media-amazon.com/images/M/MV5BOTE0MGU3MGQtZjVhMi00OTU4LWE3ZjYtY2I2ZDI1YmY2Y2I4XkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_UY98_CR1,0,67,98_AL_.jpg","
Horror, Mystery, Thriller            ",Unrated,100 min,"
    Director:
Cheol-su Park
| 
    Stars:
Eun-jin Pang, 
Sin-hye Hwang, 
Chu-Ryun Kim
","
    Two obsessive-compulsives, a chef and an anorexic writer, are neighbors in an apartment building. The chef (301) tries to entice her neighbor to eat with fabulous meals. The writer (302) ...                See full summary »
",112257,652,54285.0,"301, 302 (301/302) (1995)",Horror|Mystery|Thriller
14,A Petal,(1996),6.8,,392.0,tt0114119,"https://m.media-amazon.com/images/M/MV5BZDM4YzMzOTQtMTdhMi00MzAxLWIyMzAtMjRlODQ4MDljZDI5XkEyXkFqcGdeQXVyMjkyMDI4NTQ@._V1_UY98_CR0,0,67,98_AL_.jpg","
Drama            ",,89 min,"
    Director:
Sun-Woo Jang
| 
    Stars:
Jung-hyun Lee, 
Seong-kun Mun, 
Yeong-ran Lee, 
Sang-mi Choo
","
    A young girl is caught up in the 1980 Gwangju massacre, where Korean soldiers killed hundreds, if not thousands, of protesters who opposed the country's takeover by the military the year ...                See full summary »
",114119,205651,65335.0,A Petal (1996),Drama
15,The Day a Pig Fell Into the Well,(1996),6.7,,818.0,tt0116005,"https://m.media-amazon.com/images/M/MV5BMzJkNjI1NTYtMTU1OC00ZjEzLWIyOWEtZWQ3NDU0ZTQyNjQyXkEyXkFqcGdeQXVyMzY2MDk0MTk@._V1_UY98_CR0,0,67,98_AL_.jpg","
Drama, Romance            ",,115 min,"
    Director:
Sang-soo Hong
| 
    Stars:
Eun-hee Bang, 
Eun-sook Cho, 
Eui-sung Kim, 
Eung-Kyung Lee
","
    About desires and lives of four characters in diverse circumstances. A poor novelist, a cheating wife, a mysophobic husband and a ticket girl.",116005,84477,86267.0,"Day a Pig Fell Into the Well, The (Daijiga umule pajinnal) (1996)",Drama
16,Green Fish,(1997),7.0,,1451.0,tt0126838,"https://m.media-amazon.com/images/M/MV5BMzI0YWVkMTgtMmRlZi00Mjg4LThiZWMtY2Q0MjE0NDM2NzYxXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX67_CR0,0,67,98_AL_.jpg","
Drama            ",,111 min,"
    Director:
Chang-dong Lee
| 
    Stars:
Suk-kyu Han, 
Hye-jin Shim, 
Seong-kun Mun, 
Yu-Kyeong Cha
","
    Returning home and finding his town drastically changed, a former soldier falls in with gangsters.",126838,88028,95482.0,Green Fish (Chorok mulkogi) (1997),Drama
17,Motel Cactus,(1997),5.2,,206.0,tt0127692,"https://m.media-amazon.com/images/M/MV5BMjA3NTQ1Mjc5M15BMl5BanBnXkFtZTcwMTA4NjAzMQ@@._V1_UY98_CR1,0,67,98_AL_.jpg","
Comedy, Drama, Romance            ",,91 min,"
    Director:
Ki-Yong Park
| 
    Stars:
Woong-soo Han, 
Hee-kyung Jin, 
Woo-sung Jung, 
Seung-Hyun Kim
","
    Motel Cactus consists of four episodes, all of which take place in Room 407 of Motel Cactus, a love hotel in Seoul: (1.) A girl celebrates her birthday with her boyfriend, because it is the...                See full summary »
",127692,157544,153423.0,Motel Cactus (1997),(no genres listed)
18,Christmas in August,(1998),7.6,,3178.0,tt0140825,"https://m.media-amazon.com/images/M/MV5BOTU0MWMyZDEtMDg2NC00ODI5LWI3YTctZGMxOTQ3ZjU4YmVlXkEyXkFqcGdeQXVyMzY2MDk0MTk@._V1_UY98_CR0,0,67,98_AL_.jpg","
Drama, Romance            ",Not Rated,97 min,"
    Director:
Jin-ho Hur
| 
    Stars:
Suk-kyu Han, 
Eun-ha Shim, 
Goo Shin, 
Ji-hye Oh
","
    Hahn Suk-Kyu suffers from a fatal disease. He meets Shim Eun-Ha and falls in love with her. What will be the fate of this love - will it be a tragic ending?",140825,34464,26935.0,Christmas in August (Palwolui Christmas) (1998),Drama|Romance
19,The Housemaid,(1960),7.3,,3119.0,tt0150980,"https://m.media-amazon.com/images/M/MV5BYTNlNjZlYWYtMWViMy00MDRjLTllNjQtYTFkZTExM2IyYzg1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg","
Crime, Drama, Thriller            ",Not Rated,109 min,"
    Director:
Ki-young Kim
| 
    Stars:
Jin Kyu Kim, 
Jeung-nyeo Ju, 
Eun-shim Lee, 
Aeng-ran Eom
","
    A composer and his wife are thrown into turmoil when a housemaid becomes more than they bargained for.",150980,87040,42506.0,"Housemaid, The (Hanyo) (1960)",Crime|Drama|Horror
20,Io Island,(1977),6.7,,288.0,tt0151073,"https://m.media-amazon.com/images/M/MV5BNjllODRlODQtOTQzNC00N2NjLWIzZjctNDhjMmQ5MDAzYjc0XkEyXkFqcGdeQXVyMzY2MDk0MTk@._V1_UY98_CR1,0,67,98_AL_.jpg","
Horror, Mystery            ",,110 min,"
    Director:
Ki-young Kim
| 
    Stars:
Hwa-shi Lee, 
Jeong-cheol Kim, 
Yun-seok Choi, 
Mi-hye Kwon
","
    An investor planning on developing a tourist resort begins an investigation into the legends of the mysterious Io Island in the hope of exploiting its unspoiled beauty.",151073,80417,104310.0,Io Island (Iodo) (1977),Mystery
21,The Power of Kangwon Province,(1998),7.0,,714.0,tt0156906,"https://m.media-amazon.com/images/M/MV5BNjkwMjg3ODcyNl5BMl5BanBnXkFtZTcwNTMzNzA0MQ@@._V1_UY98_CR0,0,67,98_AL_.jpg","
Drama            ",,110 min,"
    Director:
Sang-soo Hong
| 
    Stars:
Jong-hak Baek, 
Yun-hong Oh, 
Yu-seok Kim, 
Jaehyun Chun
","
    (Korean with English subtitles) Helmed by one of Korea's leading directors, Hong Sang-soo, Jisook joins two of her girlfriends for a holiday in Korea's Kangwon Province. But in an eerie ...                See full summary »
",156906,79475,86266.0,"Power of Kangwon Province, The (Kangwon-do ui him) (1998)",Drama
22,Beat,(1997),6.9,,485.0,tt0158489,"https://m.media-amazon.com/images/M/MV5BOTZhNzc4OTUtNzVmOC00ZWZmLWEyMWItMDE1Y2YxNTg0YTkwXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_UY98_CR1,0,67,98_AL_.jpg","
Action, Crime, Drama            ",,115 min,"
    Director:
Sung-su Kim
| 
    Stars:
Woo-sung Jung, 
So-Young Ko, 
Chang Jung Lim, 
Oh-seong Yu
","
    This movie follows the story of three friends in Korea, all three of whom drop out of school. The main character is Min, a tough guy whose widowed mother is a drunk. The story traces his ...                See full summary »
",158489,156095,67089.0,Beat (1997),Action|Drama
23,Promise of the Flesh,(1975),6.7,,64.0,tt0163914,"https://m.media-amazon.com/images/M/MV5BN2FlM2FmMTItN2UyMy00ODk3LTlmNzYtZDhkYzE0Y2MyMzYyXkEyXkFqcGdeQXVyNjg3MDgxMzg@._V1_UX67_CR0,0,67,98_AL_.jpg","
Drama            ",,95 min,"
    Director:
Ki-young Kim
| 
    Stars:
Jeong-il Lee, 
Ji-mee Kim, 
Am Park, 
Jeong-ja Park
","
    A suicidal woman recalls her memories of sexual abuse while on a train ride. On route, she meets a man who may be the key to finding a reason to live.",163914,95750,279159.0,Promise of the Flesh (Yukcheui yaksok) (1975),(no genres listed)
24,The Quiet Family,(1998),7.0,,4090.0,tt0188503,"https://m.media-amazon.com/images/M/MV5BYWVhZDUyOWQtYmYzYi00MmI4LTk4YjctMGY2MDA3MDlmZGI2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","
Comedy, Crime, Horror            ",,101 min,"
    Director:
Jee-woon Kim
| 
    Stars:
In-hwan Park, 
Moon-hee Na, 
Kang-ho Song, 
Min-sik Choi
","
    A family opens a mountain inn where their first guest commits suicide. Suddenly all their guests befall horrible fates.",188503,170551,74336.0,The Quiet Family (1998),Comedy
25,Birdcage Inn,(1998),7.0,,1610.0,tt0190268,"https://m.media-amazon.com/images/M/MV5BY2ExNzE0ZDQtN2VkNC00Y2M3LTlkMjYtZmVmMzQ4NDBhOGNlXkEyXkFqcGdeQXVyMjExNjgyMTc@._V1_UY98_CR0,0,67,98_AL_.jpg","
Drama            ",,105 min,"
    Director:
Ki-duk Kim
| 
    Stars:
Ji-eun Lee, 
Hye Eun Lee, 
Jae-mo Ahn, 
Hyeong-gi Jeong
","
    Streetwise Jin-a moves into a boarding house run by a small, close-knit family. But her unacceptable behavior threatens to destroy them all.",190268,41820,2777.0,Birdcage Inn (Paran daemun) (1998),Drama
26,Wild Animals,(1997),6.2,,776.0,tt0190882,"https://m.media-amazon.com/images/M/MV5BZDY3MmU1YzYtMzYwZC00ZTcxLTk1NTEtNDI5MjVkNDM3OTk0XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UY98_CR1,0,67,98_AL_.jpg","
Comedy, Crime, Drama            ",,105 min,"
    Director:
Ki-duk Kim
| 
    Stars:
Jae-Hyun Cho, 
Dong-jik Jang, 
Ryun Jang, 
Sasha Rucavina
","
    Two Korean ex-pats meet in Paris by chance encounter. One a petty thief and wannabe artist/painter (Chong-Hae), the other a tough guy (Hong San). Hong San saves Chong-Hae from a gang of ...                See full summary »
",190882,91564,25653.0,Wild Animals (Yasaeng dongmul bohoguyeog) (1997),Crime|Drama
27,Swiri,(1999),6.6,50.0,7761.0,tt0192657,"https://m.media-amazon.com/images/M/MV5BZDZmMTQ0OWMtYTM1YS00MWM1LWFhZTQtOTc3NzI1ZGQyOTkzXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg","
Action, Thriller            ",R,125 min,"
    Director:
Je-kyu Kang
| 
    Stars:
Suk-kyu Han, 
Min-sik Choi, 
Yunjin Kim, 
Kang-ho Song
","
    South Korean agents Ryu and Lee are tracking a female assassin from North Korea who has mysteriously disappeared. With new killings and the theft of a deadly bomb, time is running out to catch her.",192657,8093,10355.0,Shiri (Swiri) (1999),Action|Drama|Romance|Thriller
28,Happy End,(1999),6.9,,1395.0,tt0220507,"https://m.media-amazon.com/images/M/MV5BMTYxMjIyNTE4NF5BMl5BanBnXkFtZTgwMzc3NzU4MzE@._V1_UY98_CR3,0,67,98_AL_.jpg","
Crime, Drama, Romance            ",Not Rated,99 min,"
    Director:
Ji-woo Jung
| 
    Stars:
Min-sik Choi, 
Do-yeon Jeon, 
Jin-mo Ju, 
Mi-seon Hwang
","
    When a wife becomes the breadwinner of her family after her husband loses his job, adultery becomes part of her life.",220507,161626,27154.0,Happy End (1999),Drama
29,Tell Me Something,(1999),6.5,61.0,2867.0,tt0220806,"https://m.media-amazon.com/images/M/MV5BMjEyMTQwNjIyMF5BMl5BanBnXkFtZTcwMDkyODAzMQ@@._V1_UY98_CR1,0,67,98_AL_.jpg","
Crime, Mystery, Thriller            ",R,118 min,"
    Director:
Yun-hyeon Jang
| 
    Stars:
Suk-kyu Han, 
Eun-ha Shim, 
Hang-Seon Jang, 
Jung-ah Yum
","
    Lieutenant Cho, a cop on the edge, is mourning the recent death of his mother, while under investigation for graft. On top of that, he is suddenly put in charge of a seemingly impenetrable mystery.",220806,50165,16371.0,Tell Me Something (Telmisseomding) (1999),Crime|Horror|Mystery|Thriller
30,Nowhere to Hide,(1999),6.5,55.0,1767.0,tt0223530,"https://m.media-amazon.com/images/M/MV5BM2EyNjMwYzYtODkyZC00YzNlLTkxM2UtN2Q1ODc3Y2JjYjhjXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX67_CR0,0,67,98_AL_.jpg","
Action, Drama            ",R,112 min,"
    Director:
Myung-se Lee
| 
    Stars:
Joong-Hoon Park, 
Sung-Ki Ahn, 
Dong-Gun Jang, 
Ji-woo Choi
","
    Detective Woo is on the trail of the mysterious gangster Sungmin, a master of disguise who always manages to elude his pursuers. Eventually, the cop tracks down and confronts the master-criminal in the suburbs of a coal-mining town.",223530,4026,25660.0,Nowhere to Hide (Injeong sajeong bol geot eobtda) (1999),Action|Comedy|Crime|Thriller
31,The Harmonium in My Memory,(1999),7.2,,840.0,tt0235452,"https://m.media-amazon.com/images/M/MV5BMzQ0ZmVhNjgtMjQ5OS00N2EwLWIzNDQtZWNmMDg0ODMyOWM0XkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_UY98_CR1,0,67,98_AL_.jpg","
Drama, Romance            ",,116 min,"
    Director:
Young-jae Lee
| 
    Stars:
Do-yeon Jeon, 
Jae-in Kim, 
Nam-hee Kwon, 
Byung-hun Lee
","
    Hong-yun is a high school girl in a little mountain village who falls head-over-heels for a handsome new school teacher, Mr Kang. What with taking care of her youngest baby brother for her ...                See full summary »
",235452,149444,142499.0,The Harmonium in My Memory (1999),Drama|Romance
32,Marine Battleground,(1963),6.9,,97.0,tt0239594,"https://m.media-amazon.com/images/M/MV5BMjRjZTE3NzYtYmU2Zi00NTU1LThiNzYtYTFlMTJiNGFkNzRkXkEyXkFqcGdeQXVyMjEzNDM2NTI@._V1_UY98_CR0,0,67,98_AL_.jpg","
Drama, War            ",,88 min,"
    Director:
Man-hui Lee
| 
    Stars:
Jock Mahoney, 
Pat Yi, 
Youngson Chon, 
Dong-hwi Jang
","
    A division of marines survive a battle with the Chinese army but find themselves stranded without contact on the wrong side of the front.",239594,141664,146949.0,Marine Battleground (1963),(no genres listed)
33,Whispering Corridors,(1998),6.1,,2890.0,tt0241073,"https://m.media-amazon.com/images/M/MV5BYTQ1NWVlMTYtYWRmNi00NTI4LWJmOWMtMGNmOWY1MGM2ZjhhXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY98_CR3,0,67,98_AL_.jpg","
Drama, Horror, Mystery            ",R,105 min,"
    Director:
Ki-hyeong Park
| 
    Stars:
Kang-hee Choi, 
Gyu-ri Kim, 
Min-Jung Kim, 
Roe-ha Kim
","
    While investigating the school files, the frightened teacher Mrs. Park startles and calls the young teacher Eun-young Hur, telling her that the deceased Jin-ju Jang is back. The line dies ...                See full summary »
",241073,34505,40254.0,Whispering Corridors (Yeogo Goedam) (1998),Drama|Horror
34,Chunhyang,(2000),7.1,79.0,1556.0,tt0245837,"https://m.media-amazon.com/images/M/MV5BMTg0NTAwNDU0NV5BMl5BanBnXkFtZTcwMjgxOTQxMQ@@._V1_UY98_CR1,0,67,98_AL_.jpg","
Drama, Musical, Romance            ",R,116 min,"
    Director:
Kwon-taek Im
| 
    Stars:
Hyo-jeong Lee, 
Seung-woo Cho, 
Seong-nyeo Kim, 
Hak-young Kim
","
    Mongryong marries the beautiful Chunhyang without telling his father, the Governor of Namwon. When his father is transferred to Seoul, Mongryong has to leave Chunhyang and finish his exams....                See full summary »
",245837,6648,54986.0,Chunhyang (2000),Drama|Musical|Romance
35,Peppermint Candy,(1999),7.7,,7397.0,tt0247613,"https://m.media-amazon.com/images/M/MV5BNjA4OTUxNTkwOF5BMl5BanBnXkFtZTcwOTIyNzYzMQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","
Drama            ",Not Rated,129 min,"
    Director:
Chang-dong Lee
| 
    Stars:
Kyung-gu Sol, 
Yeo-jin Kim, 
So-Ri Moon, 
Se-beom Park
","
    Consists of five phases of a man's life about why he committed suicide in the end.",247613,61018,41245.0,Peppermint Candy (Bakha satang) (1999),Drama
36,Virgin Stripped Bare by Her Bachelors,(2000),7.0,,1126.0,tt0253378,"https://m.media-amazon.com/images/M/MV5BMzQwYmI0MmQtMGYzOC00MzdhLWEzZmMtYTNhNWI0NzNjZTVhXkEyXkFqcGdeQXVyMjQ2MTk1OTE@._V1_UY98_CR0,0,67,98_AL_.jpg","
Comedy, Drama            ",Not Rated,126 min,"
    Director:
Sang-soo Hong
| 
    Stars:
Eun-ju Lee, 
Seong-kun Mun, 
Won-hee Cho, 
Myeong-gu Han
","
    Relationship filled with pitfalls between a pleasant female video producer and a gallery owner as they become embroiled in their self-spun web of illusions. Bitter-sweet serenade to modern courtship.",253378,88049,54690.0,Virgin Stripped Bare by Her Bachelors (Oh! Soo-jung) (2000),Drama
37,The Isle,(2000),7.0,61.0,12287.0,tt0255589,"https://m.media-amazon.com/images/M/MV5BM2NkMjI2ZDctNDdjYy00ZGVkLWExNTQtZWM4MTgxYzAxMDJmXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_UY98_CR1,0,67,98_AL_.jpg","
Drama, Thriller            ",Not Rated,90 min,"
    Director:
Ki-duk Kim
| 
    Stars:
Jung Suh, 
Yu-seok Kim, 
Jae-Hyun Cho, 
Hang-Seon Jang
","
    Working at a fishing resort in an idyllic location, but surrounded by various facets of human unpleasantness, a young mute woman falls in love with a man on the run from the law for committing murder.",255589,5526,8653.0,"Isle, The (Seom) (2000)",Drama
38,Joint Security Area,(2000),7.8,58.0,25169.0,tt0260991,"https://m.media-amazon.com/images/M/MV5BZjI3NjFlOTktN2JhYy00NjhjLWFmYWYtMDk3ZTkwOWQwZTAwXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY98_CR0,0,67,98_AL_.jpg","
Action, Drama, Thriller            ",Not Rated,110 min,"
    Director:
Chan-wook Park
| 
    Stars:
Yeong-ae Lee, 
Byung-hun Lee, 
Kang-ho Song, 
Tae-woo Kim
","
    After a shooting incident at the North/South Korean border/DMZ leaves 2 North Korean soldiers dead, a neutral Swiss/Swedish team investigates, what actually happened.",260991,27397,2440.0,Joint Security Area (Gongdong gyeongbi guyeok JSA) (2000),Crime|Drama|Mystery|Thriller|War
39,The Foul King,(2000),6.9,,1673.0,tt0261552,"https://m.media-amazon.com/images/M/MV5BMjA3Njc0MDM1N15BMl5BanBnXkFtZTcwOTAyMTIyMQ@@._V1_UY98_CR21,0,67,98_AL_.jpg","
Comedy, Sport            ",,112 min,"
    Director:
Jee-woon Kim
| 
    Stars:
Sang-Myeon Park, 
Kang-ho Song, 
Ho-kyung Go, 
Seong-sik Han
","
    Dae-Ho is an unproductive bank clerk who is late to work every morning and the object of his manager's frustrations. He was a fan of TV wrestling as a child, but can't get out of a headlock...                See full summary »
",261552,32655,52663.0,"Foul King, The (Banchikwang) (2000)",Comedy
40,Attack the Gas Station!,(1999),7.0,,4064.0,tt0262246,"https://m.media-amazon.com/images/M/MV5BMTMyMjYyNDY2MV5BMl5BanBnXkFtZTcwMzU2NzAzMQ@@._V1_UY98_CR1,0,67,98_AL_.jpg","
Comedy            ",R,113 min,"
    Director:
Sang-Jin Kim
| 
    Stars:
Sung-Jae Lee, 
Oh-seong Yu, 
Seong-jin Kang, 
Ji-Tae Yoo
","
    Four disaffected youths rob a gas station but find their plans complicated and sidetracked before the night is through.",262246,8805,16606.0,Attack the Gas Station! (Juyuso seubgyuksageun) (1999),Comedy|Crime
